"Quel est votre département ?","Quel est votre âge ?","Êtes-vous agent public ?","Quel est votre genre ?","Quel est votre genre non-binaire ?","Quel est votre statut d’emploi ?","Un coût","De moins en moins accessible","Une nécessité pour affronter la crise climatique","Moins efficace que le privé","Le passé","Ce que nous avons en commun","Des professionnel·le·s de qualité",Pénible,"Ce qui nous permet de tenir pendant la pandémie de COVID-19","Des professionnel·le·s en crise","Le meilleur moyen de réduire les inégalités","Avec quels services publics êtes-vous régulièrement en contact (cochez en autant que vous le voulez) :","Avec quels autres services publics êtes-vous régulièrement en contact ?","Ces dernières années, trouvez-vous que les services publics dont vous avez l’usage :","Quelles sont pour vous les trois priorités pour les services publics ?","Quelle serait pour vous une priorité des services publics ?","Payer plus d'impôts pour améliorer les services publics que vous utilisez","Payer plus d’impôts pour développer de nouveaux services publics","Réduire les services publics pour payer moins d’impôts","Ne payer ni plus ni moins d’impôts et faire avec l’existant","Dans le débat public, la question de l’avenir des services publics vous paraît traitée à la hauteur des enjeux ?","Consentement à l'enregistrement des réponses au questionnaire","Souhaitez-vous :","Pouvez-vous nous raconter la dernière fois que vous avez éprouvé de la reconnaissance pour un service public et pourquoi ?","Pouvez-vous nous raconter votre expérience la plus difficile en lien avec un service public et pourquoi ?","Pouvez-vous nous raconter la dernière fois où vous avez eu l’impression de ne pas avoir pu répondre aux besoins d’une personne ou de la société ? Pourquoi ?","Pouvez-vous nous raconter la dernière fois où vous avez eu l’impression de changer la vie d’une personne ou d’améliorer la vie en commun ? Pourquoi ?","Nous autorisez-vous à publier votre témoignage (anonymisé) ?","Comment voulez-vous que ce témoignage soit signé ?","ID de l’entrée","Champ #65 supprimé","Champ #62 supprimé","Champ #33 supprimé"
75,"entre 40 et 49 ans",Oui,Homme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,593,,,
38,"entre 50 et 59 ans",Non,Homme,,"Artisan, commerçant·e ou chef·fe d’entreprise","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les services des titres (papiers, immatriculation, permis de conduire…)
Les finances publiques (impôts, cotisations)
Le service public du logement
Autre (préciser)",Urbanisme,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient plus simples
Autre (préciser) :","Qu’il soit au service du public","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Prendre 5 minutes supplémentaires pour nous livrer un témoignage","Pas de souvenir dans ce sens. Les seuls fois où j’ai éprouvé de la reconnaissance cela n’était pas pour un service mais pour un agent particulier qui sortait du cadre pour essayer justement de rendre un service.","Les services urbanisme ouverts au public deux demi journées par semaine. Des agents dont la mission n’est pas d’aider le public mais d’interpréter les règles de la manière la plus contraignante. Il est courant de ressentir le mépris des agents.",,,"Je consens à ce que le collectif Nos services publics publie sur ce site mon témoignage.","Gil. Architecte.",589,,,
73,"entre 40 et 49 ans",Non,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Ne se prononce pas","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les services des titres (papiers, immatriculation, permis de conduire…)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils s’adaptent mieux aux particularités de ma situation
Qu’ils soient plus dématérialisés
Qu’ils soient plus simples",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,587,,,
49,"entre 50 et 59 ans",Oui,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples",,"Ne se prononce pas","Ne se prononce pas","Non, pas du tout d’accord","Ne se prononce pas",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,586,,,
34,"entre 30 et 39 ans",Non,Homme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord","Ne se prononce pas","Ne se prononce pas","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","L’hôpital ou le système de santé
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)",,"Se sont plutôt dégradés","Qu’ils s’adaptent mieux aux particularités de ma situation
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples",,"Non, plutôt pas d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Ne se prononce pas","Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,585,,,
33,"entre 50 et 59 ans",Non,Homme,,"Sans activité professionnelle (chômeur·se, étudiant·e…)","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples
Qu’ils se recentrent sur quelques priorités",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,580,,,
29,"entre 50 et 59 ans",Oui,Femme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)",,"Se sont plutôt améliorés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient plus simples",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,576,,,
76,"entre 50 et 59 ans",Oui,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient plus simples
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,569,,,
91,"entre 40 et 49 ans",Oui,Homme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
La protection de l’environnement (forêts, parcs, espaces naturels, etc)",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,567,,,
83,"entre 40 et 49 ans",Oui,Homme,,"Employé·e (secrétaire, agent de catégorie C…)","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les finances publiques (impôts, cotisations)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
Autre (préciser)","DDI (trop souvent oubliées)","Se sont beaucoup dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,566,,,
77,"entre 30 et 39 ans",Oui,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Ne se prononce pas","Oui, tout à fait d’accord","Oui, plutôt d’accord","L’hôpital ou le système de santé",,"Se sont plutôt dégradés","Qu’ils soient plus dématérialisés
Qu’ils soient plus accessibles à toutes et tous
Qu’ils se recentrent sur quelques priorités",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,565,,,
44,"entre 30 et 39 ans",Oui,Homme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","L’éducation nationale ou l’université
Les transports en commun
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)",,"Se sont plutôt améliorés","Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,564,,,
56,"entre 40 et 49 ans",Oui,Homme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Ne se prononce pas","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)
Les services des titres (papiers, immatriculation, permis de conduire…)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)
La justice
Autre (préciser)","La DDE ou la DIR","Se sont plutôt dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples",,"Non, plutôt pas d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Ne se prononce pas",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,560,,,
65,"entre 60 et 69 ans",Non,Homme,,Retraité·e,"Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,558,,,
03,"entre 50 et 59 ans",Non,Femme,,"Sans activité professionnelle (chômeur·se, étudiant·e…)","Ne se prononce pas","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Ne se prononce pas","Ne se prononce pas","Ne se prononce pas","Ne se prononce pas",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,557,,,
974,"70 ans ou plus",Non,Homme,,Retraité·e,"Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,549,,,
94,"entre 50 et 59 ans",Oui,Femme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les finances publiques (impôts, cotisations)
L’information publique (radio France, France télévision)",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,548,,,
08,"entre 60 et 69 ans",Oui,Homme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Le service public du logement
La justice",,"Se sont plutôt dégradés","Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples
Qu’ils se recentrent sur quelques priorités",,"Non, plutôt pas d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,543,,,
31,"70 ans ou plus",Oui,Femme,,Retraité·e,"Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Ne se prononce pas","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé",,"Se sont plutôt dégradés","Qu’ils se recentrent sur quelques priorités",,"Non, pas du tout d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,538,,,
93,"entre 40 et 49 ans",Oui,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)
La justice",,"Se sont plutôt dégradés","Autre (préciser) :","Qu’ils aient plus de moyens","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,536,,,
92,"entre 30 et 39 ans",Oui,Homme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,535,,,
74,"entre 60 et 69 ans",Non,Homme,,Retraité·e,"Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)",,"Se sont beaucoup dégradés","Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus adaptés aux défis écologiques
Qu’ils se développent dans des domaines nouveaux",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,531,,,
67,"entre 50 et 59 ans",Non,,,"Sans activité professionnelle (chômeur·se, étudiant·e…)","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les forces de l’ordre (police, gendarmerie)
L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les services des titres (papiers, immatriculation, permis de conduire…)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)
La justice
Autre (préciser)","Consulats, Défenseure des droits, Centrés de détention administrative, administration pénitentiaire","Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient plus simples
Autre (préciser) :","D’être au service des populations (et non l’inverse)","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Prendre 5 minutes supplémentaires pour nous livrer un témoignage","J’accompagne des couples binationaux qui ont des situations dministratives et juridiques complexes auprès de services débordés et non efficients. La Défenseure des droits est lente à agir mais peut être très efficace quand elle intervient. Merci !","Une personne que j’ai accompagnée, Jessica, est revenue 4 fois au Tribunal pour obtenir un courrier de la  Procureure de la République qui prouve que son couple n’a pas subi d’enquête au moment du mariage (son mari est retourné en Tunisie pour demander un visa  long séjour valant titre de séjour depuis juin 2021 et le visa a été refusé 3 fois). Ce papier devait être fourni pour le dépôt de la 4e demande de visa le surlendemain. Tous les arguments y sont passés : nous sommes débordés (4 personnes derrière l’agente dans le bureau d’accueil qui papotent avec un café), nous n’avons pas que ça à faire (nous non plus), nous avons vérifié et vous n’avez pas eu d’enquête mais il faut quand même nous donner un certificat de mariage de la mairie (on a dû aller chercher le document à la mairie de quartier), pas besoin de revenir vous pouvez l’envoyer par mail (Jessica n’est pas particulièrement à l’aise avec l’informatique), la collègue qui va s’en occuper doit en parler à la Procureure qui revient de vacances et doit s’occuper de tout ce qu’elle n’a pas fait pendant ses vacances et donc elle n’est pas sûre d’arriver même à lui parler, SI on y arrive, on vous l’enverra par mail, ladite collègue est en ligne (là Jessica a sorti son ouvrage de crochet) nous avons obtenu le document mais je reste avec l’impression malaisante que si je n’avais pas été là, Jessica n’aurait pas eu son papier.",,,"Je consens à ce que le collectif Nos services publics publie sur ce site mon témoignage.","Sylvie du collectif des Amoureux au ban public",528,,,
